7zip 26.02-1
serd 0.32.10-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
slang 2.3.3-4
slurp 1.5.0-2
smbclient 2:4.24.6-1
snapper 0.13.1-3
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-19
spandsp 0.0.6-7
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.6-1
starship 1.26.0-1
steam 1.0.0.87-3
steam-devices 1.0.0.87-3
sudo 1.9.17.p2-6
supergfxctl 5.2.7-2
sushi 50.0-1
svt-av1 4.2.0-1
system-config-printer 1.5.18-6
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
talloc 2.5.0-1
tar 1.35-5
tdb 1.4.15-1
tensaku 0.28.0-1
tesseract 5.5.3-1
tesseract-data-eng 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
tevent 1:0.17.2-1
texinfo 7.3-1
tinysparql 3.11.1-1
tldr 3.4.4-1
tmux 3.7_c-1
tobi-try 1.8.1-3
tomlplusplus 3.4.0-2
totem-pl-parser 3.26.7-1
tpm2-tss 4.2.0-2
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-cli 0.26.9-1
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-carlito 20230509-2
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-ia-writer 20181225-1
ttf-jetbrains-mono-nerd-basic 3.5.0-1
ttf-liberation 2.1.5-2
ttfx 0.3.2-1
tzdata 2026c-1
tzupdate 3.1.0-1
uchardet 0.0.8-4
udiskie 2.7.0-2
udisks2 2.11.2-1
ufw 0.36.2-7
ufw-docker 251123-1
umu-launcher 1.4.4-1
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.3-1
usage 5.1.0-1
usbutils 019-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uwsm 0.26.7-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vid.stab 1.1.1-3
vim 9.2.1001-1
vim-runtime 9.2.1001-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vpl-gpu-rt 26.2.4-1
vulkan-icd-loader 1.4.357.0-1
vulkan-intel 1:26.2.1-1
vulkan-mesa-implicit-layers 1:26.2.1-1
wayland 1.26.0-1
wayland-protocols 1.49-1
wayvnc 0.10.1-1
webkit2gtk-4.1 2.52.6-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-6
which 2.25-1
whois 5.6.6-1
wine-gecko 2.47.4-2
wine-mono 11.3.0-1
wine-staging 11.16-1
winetricks 20260125-2
wireless-regdb 2026.05.30-1
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
woff2 1.0.2-6
woff2-font-awesome 7.3.1-1
wpa_supplicant 2:2.12-1
wtype 0.4-2
x264 3:0.165.r3222.b35605a-2
x265 4.3-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.8-1
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-terminal-exec 0.14.3-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xf86-input-libinput 1.5.0-1
xkeyboard-config 2.48-1
xorg-fonts-encodings 1.1.0-2
xorg-server 21.1.24-1
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xauth 1.1.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.4-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yarn 1.22.22-2
yaru-icon-theme 26.04.5.1ubuntu-1
yay 13.0.1-1
yoga 3.2.1-1
yt-dlp 2026.08.19-1
yt-dlp-ejs 0.8.0-1
yyjson 0.12.0-1
zbar 0.23.93-7
zenity 4.2.2-1
zeromq 4.3.5-3
zimg 3.0.6-2
zip 3.0-14
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
zstd 1.5.7-3
